"","V1","Home","HomeStartingPitcher","HomeStartingPlayer_1","HomeStartingPlayer_2","HomeStartingPlayer_3","HomeStartingPlayer_4","HomeStartingPlayer_5","HomeStartingPlayer_6","HomeStartingPlayer_7","HomeStartingPlayer_8","HomeStartingPlayer_9","Visitor","VisitorStartingPitcher","VisitorStartingPlayer_1","VisitorStartingPlayer_2","VisitorStartingPlayer_3","VisitorStartingPlayer_4","VisitorStartingPlayer_5","VisitorStartingPlayer_6","VisitorStartingPlayer_7","VisitorStartingPlayer_8","VisitorStartingPlayer_9","homeWin","HomeStartingPitcher_G","HomeStartingPitcher_GD","HomeStartingPitcher_CG","HomeStartingPitcher_SHO","HomeStartingPitcher_SV","HomeStartingPitcher_IPouts","HomeStartingPitcher_H","HomeStartingPitcher_ERA","HomeStartingPitcher_BB","HomeStartingPitcher_HBP","VisitorStartingPitcher_G","VisitorStartingPitcher_GD","VisitorStartingPitcher_CG","VisitorStartingPitcher_SHO","VisitorStartingPitcher_SV","VisitorStartingPitcher_IPouts","VisitorStartingPitcher_H","VisitorStartingPitcher_ERA","VisitorStartingPitcher_BB","VisitorStartingPitcher_HBP"
"1",0,"KCA","volqued01","escobal02","moustmi01","cainlo01","hosmeer01","moralke01","gordoal01","perezsa02","infanom01","fuentre01","NYN","harvema01","grandcu01","wrighda03","cespeyo01","dudalu01","walkene01","confomi01","cabreas01","darnatr01","lagarju01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"TBA","archech01","forsylo01","morrilo01","longoev01","dickeco01","jennide01","millebr02","souzast01","kiermke01","congeha01","TOR","stromma01","pillake01","donaljo02","bautijo02","encared01","tulowtr01","colabch01","saundmi01","martiru01","goinsry01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,"PIT","liriafr01","jasojo01","mccutan01","freesda01","martest01","cervefr01","polangr01","harrijo05","mercejo03","liriafr01","SLN","wainwad01","carpema01","phamth01","hollima01","grichra01","piscost01","molinya01","wongko01","gyorkje01","wainwad01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,"ANA","richaga01","escobyu01","navada01","troutmi01","pujolal01","calhoko01","croncj01","simmoan01","perezca02","giavojo01","CHN","arrieja01","fowlede01","heywaja01","zobribe01","rizzoan01","bryankr01","schwaky01","solerjo01","montemi01","russead02",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",4,"BAL","tillmch01","machama01","jonesad01","davisch02","trumbma01","wietema01","alvarpe01","hardyjj01","schoojo01","rickajo01","MIN","santaer01","doziebr01","mauerjo01","sanomi01","plouftr01","rosared01","parkby01","escobed01","suzukku01","buxtoby01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",5,"OAK","hillri01","burnsbi02","lowrije01","reddijo01","valenda01","daviskh01","butlebi03","canhama01","vogtst01","semiema01","CHA","salech01","eatonad02","rolliji01","abreujo02","frazito01","cabreme01","garciav01","lawribr01","navardi01","jacksau01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",6,"TBA","smylydr01","forsylo01","morrilo01","longoev01","dickeco01","jennide01","millebr02","souzast01","kiermke01","casalcu01","TOR","dickera01","pillake01","donaljo02","bautijo02","encared01","tulowtr01","colabch01","saundmi01","goinsry01","tholejo01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",7,"TEX","hamelco01","deshide02","choosh01","fieldpr01","beltrad01","morelmi01","desmoia01","odorro01","andruel01","chiriro01","SEA","hernafe02","aokino01","marteke01","canoro01","cruzne02","seageky01","gutiefr01","lindad01","iannech01","martile01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",8,"ARI","greinza01","segurje01","owingch01","goldspa01","castiwe01","peralda01","tomasya01","lambja01","greinza01","ahmedni01","COL","delarjo01","blackch02","storytr01","gonzaca01","arenano01","parrage01","reynoma01","hundlni01","lemahdj01","delarjo01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",9,"ATL","teherju01","inciaen01","aybarer01","freemfr01","garciad01","markani01","olivehe01","pierzaj01","peterja01","teherju01","WAS","scherma01","reverbe01","rendoan01","harpebr03","zimmery01","murphda08","werthja01","ramoswi01","espinda01","scherma01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
