,Dates,DayNight,Home,HomeLeague,HomeScore,HomeStartingPitcher,HomeStartingPlayer_1,HomeStartingPlayer_2,HomeStartingPlayer_3,HomeStartingPlayer_4,HomeStartingPlayer_5,HomeStartingPlayer_6,HomeStartingPlayer_7,HomeStartingPlayer_8,HomeStartingPlayer_9,Visitor,VisitorLeague,VisitorScore,VisitorStartingPitcher,VisitorStartingPlayer_1,VisitorStartingPlayer_2,VisitorStartingPlayer_3,VisitorStartingPlayer_4,VisitorStartingPlayer_5,VisitorStartingPlayer_6,VisitorStartingPlayer_7,VisitorStartingPlayer_8,VisitorStartingPlayer_9
0,20170402,D,ARI,NL,6,greiz001,polla001,owinc001,goldp001,lambj001,tomay001,drurb001,perad001,mathj001,greiz001,SFN,NL,5,bumgm001,spand001,beltb001,pench001,poseb001,crawb001,nunee002,parkj002,panij002,bumgm001
1,20170402,N,SLN,NL,4,martc006,fowld001,diaza003,carpm002,peraj001,moliy001,piscs001,gyorj001,gricr001,martc006,CHN,NL,3,lestj001,schwk001,bryak001,rizza001,zobrb001,russa002,heywj001,contw001,lestj001,baezj001
2,20170402,D,TBA,AL,7,archc001,dickc002,kierk001,longe001,millb002,souzs001,morrl001,beckt001,smitm007,norrd001,NYA,AL,3,tanam001,gardb001,sancg002,birdg001,hollm001,ellsj001,casts001,headc001,judga001,torrr001
3,20170403,D,CIN,NL,3,felds001,hamib001,peraj003,vottj001,duvaa001,suare001,sches001,cozaz001,barnt001,felds001,PHI,NL,4,hellj001,hernc005,kendh001,herro001,franm004,saunm001,joset001,ruppc001,galvf001,hellj001
4,20170403,D,LAN,NL,14,kersc001,tolea001,seagc001,turnj001,gonza003,forsl001,pedej001,grany001,puigy001,kersc001,SDN,NL,3,chacj001,margm001,myerw001,solay001,renfh001,schir001,hedga001,aybae001,chacj001,jankt001
5,20170403,D,MIL,NL,5,guerj003,villj001,thame001,braur002,shawt001,santd002,broxk001,bandj001,arcio002,guerj003,COL,NL,7,grayj003,blacc001,lemad001,gonzc001,arenn001,stort001,parrg001,reynm001,woltt001,grayj003
6,20170403,D,NYN,NL,6,syndn001,reyej001,cabra002,cespy001,granc001,walkn001,brucj001,dudal001,river003,syndn001,ATL,NL,0,tehej001,incie001,swand001,freef001,kempm001,markn001,philb001,garca004,flowt001,tehej001
7,20170403,D,WAS,NL,4,stras001,turnt001,eatoa002,harpb003,murpd006,zimmr001,wertj001,drews001,wietm001,stras001,MIA,NL,2,volqe001,gordd002,realj001,yelic001,stanm004,bourj002,ozunm001,dietd001,hecha001,volqe001
8,20170403,D,BAL,AL,3,gausk001,smits002,jonea003,machm001,davic003,trumm001,castw002,kim-h001,schoj001,hardj003,TOR,AL,2,estrm001,travd001,donaj001,bautj002,morak001,tulot001,martr004,pears001,pillk001,carre001
9,20170403,D,BOS,AL,5,porcr001,pedrd001,benia002,bettm001,ramih003,morem001,bogax001,bradj001,sandp001,leons001,PIT,NL,3,coleg001,fraza001,marts002,mccua001,polag001,freed001,cervf001,bellj005,harrj002,mercj002
10,20170403,N,HOU,AL,3,keucd001,sprig001,brega001,altuj001,corrc001,beltc001,reddj001,gurry001,mccab002,aokin001,SEA,AL,0,hernf002,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,martl004,zunim001,dysoj001
11,20170403,D,MIN,AL,7,sante001,dozib001,grosr001,buxtb001,mauej001,sanom001,castj006,polaj001,keplm001,rosae001,KCA,AL,1,duffd001,gorda001,mousm001,cainl001,hosme001,peres002,mossb001,orlap001,escoa003,mondr003
12,20170403,N,OAK,AL,4,gravk001,davir003,joycm001,healr001,davik003,vogts001,lowrj001,plout001,alony001,semim001,ANA,AL,2,nolar001,escoy001,calhk001,troum001,pujoa001,cronc002,maybc001,simma001,espid001,maldm001
13,20170403,N,TEX,AL,5,darvy001,gomec002,choos001,mazan001,napom001,odorr001,lucrj001,gallj002,andre001,profj001,CLE,AL,8,klubc001,santc002,lindf001,branm003,encae001,ramij003,gomey001,naqut001,diazy001,almoa001
14,20170404,N,ARI,NL,4,corbp001,polla001,perad001,goldp001,lambj001,tomay001,drurb001,owinc001,mathj001,corbp001,SFN,NL,8,cuetj001,herng001,beltb001,pench001,poseb001,crawb001,nunee002,marrc001,panij002,cuetj001
15,20170404,N,LAN,NL,0,maedk001,forsl001,seagc001,turnj001,gutif001,puigy001,gonza003,grany001,herne001,maedk001,SDN,NL,4,richc002,jankt001,margm001,myerw001,solay001,schir001,renfh001,hedga001,aybae001,richc002
16,20170404,N,MIL,NL,5,daviz001,villj001,broxk001,braur002,santd002,shawt001,aguij001,bandj001,arcio002,daviz001,COL,NL,6,andet002,blacc001,lemad001,gonzc001,arenn001,stort001,parrg001,reynm001,woltt001,andet002
17,20170404,N,SLN,NL,1,waina001,fowld001,diaza003,carpm002,peraj001,moliy001,piscs001,gricr001,wongk001,waina001,CHN,NL,2,arrij001,schwk001,bryak001,rizza001,russa002,contw001,heywj001,baezj001,arrij001,almoa002
18,20170404,D,CHA,AL,3,quinj001,salat001,andet001,cabrm002,abrej003,frazt001,aschc001,garca003,narvo001,may-j001,DET,AL,6,verlj001,kinsi001,castn001,cabrm001,martv001,uptoj001,mahtm001,mccaj001,jonej006,iglej001
19,20170404,N,HOU,AL,2,mccul002,sprig001,brega001,altuj001,corrc001,beltc001,reddj001,gatte001,mccab002,gonzm002,SEA,AL,1,iwakh001,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,martl004,zunim001,dysoj001
20,20170404,N,OAK,AL,6,manas001,davir003,joycm001,healr001,davik003,vogts001,lowrj001,plout001,alony001,semim001,ANA,AL,7,shoem001,escoy001,calhk001,troum001,pujoa001,martj007,maybc001,simma001,espid001,maldm001
21,20170404,N,TBA,AL,0,odorj001,souzs001,kierk001,longe001,weekr001,beckt001,millb002,norrd001,robed004,bourp001,NYA,AL,5,sabac001,gardb001,sancg002,birdg001,hollm001,ellsj001,casts001,headc001,judga001,torrr001
22,20170404,N,TEX,AL,3,perem004,gomec002,choos001,mazan001,napom001,odorr001,rua-r001,gallj002,andre001,chirr001,CLE,AL,4,carrc003,santc002,lindf001,branm003,encae001,ramij003,guyeb001,diazy001,gomey001,jacka001
23,20170405,N,ARI,NL,8,walkt004,polla001,owinc001,goldp001,lambj001,tomay001,drurb001,iannc001,ahmen001,walkt004,SFN,NL,6,moorm003,herng001,beltb001,pench001,poseb001,crawb001,nunee002,parkj002,panij002,moorm003
24,20170405,N,CIN,NL,2,finnb001,hamib001,peraj003,vottj001,duvaa001,suare001,sches001,cozaz001,barnt001,finnb001,PHI,NL,0,eickj001,hernc005,kendh001,herro001,franm004,joset001,altha001,ruppc001,galvf001,eickj001
25,20170405,N,LAN,NL,3,hillr001,tolea001,seagc001,turnj001,gonza003,forsl001,pedej001,grany001,puigy001,hillr001,SDN,NL,1,cahit001,margm001,myerw001,solay001,renfh001,schir001,hedga001,aybae001,cahit001,jankt001
26,20170405,N,MIL,NL,6,peraw001,villj001,thame001,braur002,shawt001,pereh001,nieuk001,pinam001,arcio002,peraw001,COL,NL,1,chatt001,blacc001,lemad001,gonzc001,arenn001,stort001,parrg001,reynm001,woltt001,chatt001
27,20170405,N,NYN,NL,1,degrj001,reyej001,cabra002,cespy001,granc001,walkn001,brucj001,dudal001,darnt001,degrj001,ATL,NL,3,colob001,incie001,swand001,freef001,kempm001,markn001,philb001,garca004,suzuk001,colob001
28,20170405,N,WAS,NL,6,roart001,turnt001,eatoa002,harpb003,murpd006,zimmr001,renda001,wertj001,wietm001,roart001,MIA,NL,4,strad003,gordd002,realj001,yelic001,stanm004,bourj002,ozunm001,dietd001,hecha001,strad003
29,20170405,N,BAL,AL,3,bundd001,rickj001,jonea003,machm001,trumm001,davic003,manct001,castw002,schoj001,hardj003,TOR,AL,1,happj001,travd001,donaj001,bautj002,morak001,tulot001,martr004,pears001,smoaj001,pillk001
30,20170405,N,BOS,AL,3,salec001,pedrd001,benia002,bogax001,ramih003,morem001,younc004,bradj001,sandp001,leons001,PIT,NL,0,tailj001,mercj002,marts002,mccua001,polag001,freed001,cervf001,harrj002,bellj005,fraza001
31,20170405,N,HOU,AL,5,mortc002,sprig001,brega001,altuj001,corrc001,beltc001,gurry001,gatte001,reddj001,marij002,SEA,AL,3,paxtj001,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,zunim001,dysoj001,martl004
32,20170405,D,MIN,AL,9,santh001,dozib001,keplm001,buxtb001,mauej001,sanom001,castj006,escoe001,rosae001,grosr001,KCA,AL,1,kenni001,gorda001,mousm001,cainl001,hosme001,peres002,orlap001,cuthc001,escoa003,mondr003
33,20170405,N,OAK,AL,0,cottj001,joycm001,lowrj001,healr001,davik003,vogts001,plout001,alony001,semim001,davir003,ANA,AL,5,richg002,escoy001,calhk001,troum001,pujoa001,cronc002,maybc001,simma001,espid001,maldm001
34,20170405,N,TBA,AL,4,cobba001,dickc002,kierk001,longe001,millb002,souzs001,morrl001,beckt001,smitm007,norrd001,NYA,AL,1,pinem001,gardb001,sancg002,birdg001,hollm001,ellsj001,casts001,headc001,judga001,torrr001
